CPUs,Input Parameters,Output,Simulation Time
32,"[[0.13430896649809382, 0.13137944238421148, 0.42470758359158434, 0.18214327971192976, 0.1789077045945931, 0.2292264802480194, 0.23439588619422688, 0.12897736995261028, 0.2569106669021026, 0.11262499520224058, 0.16774051869467774, 0.37482976901056325]]","[[14722690.0, 14722690.0]]",4.72
32,"[[0.2093232616975401, 0.20231014581092555, 0.2209979321072285, 0.25713078829502206, 0.14091821669812374, 0.24056143676420863, 0.2642700701735334, 0.09397674693953083, 0.204703920891047, 0.18340166716671533, 0.22885569246826074, 0.3497436695016153]]","[[64171120.0, 64171120.0]]",5.17
32,"[[0.18353671470619853, 0.3143180121842759, 0.036127276722438595, 0.26790554092446883, 0.23372132949766306, 0.22652214240740517, 0.15308398669092105, 0.3638028368481362, 0.30815708502099637, 0.055748685189391245, 0.2143230725332, 0.1887603518290754]]","[[64171120.0, 64171120.0]]",6.72
32,"[[0.06766829909404867, 0.12408822783311325, 0.23246751074938496, 0.20057071743341426, 0.2315618131647842, 0.15934101826041552, 0.13282208876331011, 0.18390550353015692, 0.2624151846649084, 0.17281577675149049, 0.3207653649178491, 0.16205229352620804]]","[[64171120.0, 64171120.0]]",6.61
32,"[[0.21648767355126905, 0.2737532186185775, 0.3067152209400764, 0.15268390880644245, 0.19918020513992712, 0.13586888199711195, 0.18438794830783778, 0.28162111552312225, 0.2707697851298161, 0.1642939149053529, 0.24849419288612487, 0.2411175529366793]]","[[64171120.0, 64171120.0]]",6.51
32,"[[0.08702682025453246, 0.3028739068513495, 0.2228281820757816, 0.16939123356926936, 0.15604861874024006, 0.31061271457720496, 0.1265070100291084, 0.2016337443294536, 0.15218457739109154, 0.2211586740388015, 0.2409298727039107, 0.27595329289115567]]","[[64171120.0, 64171120.0]]",17.37
32,"[[0.2506732693900622, 0.19979683464875084, 0.1252942253507513, 0.25964062433490065, 0.19616062667665568, 0.3038646273488659, 0.13570811967319066, 0.2701530986754226, 0.2486452963498401, 0.29465167045460894, 0.08372483901615187, 0.12114105269682991]]","[[64171120.0, 64171120.0]]",23.56
32,"[[0.1567149342990622, 0.14179700902186823, 0.18020221448964613, 0.3975743463774396, 0.20520318743454616, 0.3164232394366858, 0.25398233122602587, 0.16668799083000707, 0.18478435494401685, 0.24019309369870004, 0.1935269796946717, 0.16987011257044327]]","[[175811.3, 175811.3]]",4.51
32,"[[0.20207796298816175, 0.17956889041734647, 0.19666036927653383, 0.129904338395982, 0.24734142641296186, 0.07497206163101608, 0.23579442586275703, 0.2159370175937528, 0.23996654250850413, 0.2232419130664954, 0.23404726123781178, 0.20383489419624007]]","[[64171120.0, 64171060.0]]",19.92
32,"[[0.12368747691327751, 0.17530944710137217, 0.20996834379398144, 0.31352852510582385, 0.11180709081461933, 0.11429900917057274, 0.06140426893776982, 0.2919407278588041, 0.2164817785096364, 0.10208207437470955, 0.15597886200762462, 0.24463251303780326]]","[[64171120.0, 64171120.0]]",9.59
32,"[[0.13579930405127788, 0.23586675187255976, 0.24673871589940233, 0.1359334213851019, 0.26961309959246416, 0.2041945908628801, 0.09144193508114243, 0.060808458605413285, 0.09926568962933142, 0.28654504146474813, 0.08923328878803365, 0.13324569340592946]]","[[4887554.0, 4887554.0]]",5.67
32,"[[0.24207676959168542, 0.2192377254053321, 0.267160153681102, 0.12308495949183677, 0.34994921970375337, 0.1710458379349303, 0.16422797624204746, 0.16357107596752257, 0.2098677492859911, 0.09081407166749914, 0.10408688380730631, 0.16558266952817574]]","[[64171120.0, 64171120.0]]",15.2
32,"[[0.27627462454467316, 0.17373048893125956, 0.1759590012392133, 0.17879881404292436, 0.3371298678650515, 0.24523629851258869, 0.119407996078251, 0.2560386358844682, 0.23829446133215162, 0.14717299660603528, 0.17602910182304907, 0.19193801742940156]]","[[41726720.0, 41726720.0]]",7.11
32,"[[0.26423587555633, 0.2146931899875556, 0.16541605998243425, 0.25059896416433564, 0.10143880095733943, 0.08259921328010161, 0.13960320950484134, 0.12463416650134093, 0.1140451723294233, 0.20539028637361792, 0.1428042620407971, 0.32553498655910906]]","[[64171120.0, 64171120.0]]",5.84
32,"[[0.19794515166258664, 0.17139655071530768, 0.2172068220162746, 0.23147211395057696, 0.18523146758046885, 0.220725606275901, 0.2015136674656226, 0.24398876225097824, 0.2085699103549471, 0.25970138022505485, 0.2016831683251295, 0.15393997818133737]]","[[64171120.0, 64171120.0]]",14.9
32,"[[0.06311533517180143, 0.24443762551232556, 0.3179960487604786, 0.2862360249926678, 0.07108745789133192, 0.1845794599298816, 0.2094150131751526, 0.1592170475472069, 0.08646646067687078, 0.22754960663280788, 0.2352994693710309, 0.2241324386229212]]","[[64171120.0, 64171120.0]]",7.47
32,"[[0.24331449778065983, 0.03846181836096216, 0.20858970218063927, 0.19241390081604767, 0.1631416840757597, 0.19610729575083297, 0.316392717474718, 0.1909540924451435, 0.16734966498556986, 0.30842044522422496, 0.17419573693119456, 0.22084708093756478]]","[[64171120.0, 64171120.0]]",11.69
32,"[[0.3130414123146038, 0.281584659781141, 0.18807963658701832, 0.2715065539524518, 0.2229631565704438, 0.19975542518877284, 0, 0.22549662282164543, 0.19944355415679232, 0.2542197628781195, 0.2205301530286308, 0.09528427572402932]]","[[64171120.0, 64171120.0]]",7.86
32,"[[0.22745101201628565, 0.24211716539166295, 0.09919845197962454, 0.10839301890322851, 0.2165976428254974, 0.1478107468288374, 0.12360502337931288, 0.13998487110800117, 0.13855476163085087, 0.11622827412890455, 0.16094645888410844, 0.23562061390190336]]","[[40432120.0, 40432110.0]]",17.85
32,"[[0.11318433798321147, 0.0995681565662157, 0.12503583587861547, 0.17226413604606342, 0.05646478488098419, 0.25202318252565126, 0.27344964608131994, 0.15141606156843862, 0.19453318254124935, 0.08752636476653662, 0.03575929657497709, 0.03596358362374624]]","[[64171120.0, 64170990.0]]",6.59
32,"[[0.21520365335663813, 0.1602695094632695, 0.237843272364566, 0.09986441967065558, 0.27530491313518196, 0.089610516017843, 0.2763500965304639, 0.4415238685802363, 0.06380004815936169, 0.23536468302785946, 0.35203977630117955, 0.19739618823523195]]","[[52919200.0, 52919200.0]]",8.97
32,"[[0.2228472737259414, 0.2331638662126828, 0.1599847343592069, 0.33969882410616514, 0.1682201427025517, 0.23217573152430743, 0.24145498112071492, 0.19786133173278955, 0.14407176954579712, 0.1707747097530545, 0.3460765664246035, 0]]","[[64171120.0, 64171120.0]]",6.76
