CPUs,Input Parameters,Output,Simulation Time
16,"[[0.31432230912654296, 0.2306278874627001, 0.16766034384364095, 0.22877134117726353, 0.14107289636996512, 0.11926528242556415, 0.2439559287946147, 0.10243722654541526, 0.10080735325462287, 0.2623460067039312, 0.214120383910955, 0.3531162901039596]]","[[548214800.0, 548213000.0]]",63.73
16,"[[0.3109304269001918, 0.10386163135496913, 0.15424567843468714, 0.3010922916492673, 0.0778802720418246, 0.253616960542142, 0.2996327791050624, 0.04093879338308837, 0.31572155101245786, 0.21040938763416545, 0.10843499437930353, 0.30479007763821875]]","[[622336800.0, 622292400.0]]",50.51
16,"[[0.318912471009473, 0.3378939300065831, 0.09020162214926501, 0.20523865935237692, 0.2415113715505955, 0.3229017441096881, 0.15860771566360962, 0.12834853186676573, 0.002701555972257741, 0.19348620086909152, 0.15801118955570637, 0.19533861538360636]]","[[637878500.0, 637874800.0]]",53.11
16,"[[0.3178088652810254, 0.13874536530704412, 0.41342196585610846, 0.1281025443879556, 0.19707429899319445, 0.15652866161094686, 0.21799549651017439, 0.05370088973504958, 0.18573423982591783, 0.12520567997108356, 0.18583138202424193, 0.15136871371465405]]","[[896780800.0, 896747400.0]]",45.92
16,"[[0.09911811467474559, 0.26821440253229295, 0.09805339935978483, 0.24436288833954395, 0.11670464466831983, 0.19093969118872894, 0.2709570517628123, 0.27830430254686406, 0.2559012582849587, 0.19424889664642456, 0.1670861414297665, 0.1873096708181037]]","[[211149400.0, 211149300.0]]",51.91
16,"[[0.09637471454551197, 0.029202826271200744, 0.3300789666100566, 0.1073324947905017, 0.30825724021844747, 0.2683476990390574, 0.06443985284012221, 0.3218432773030544, 0.23740441896571177, 0.11350631642726773, 0.19325639664787705, 0.16372127520915858]]","[[896780800.0, 816320800.0]]",0.9
16,"[[0.3069502176658355, 0.16104177910171635, 0.04146601037336997, 0.2582135193575177, 0.20521563449337962, 0.0953672235835976, 0.10860634901380586, 0.1307725083047288, 0.3425462622478159, 0.1322147314783212, 0.2547829645597425, 0.18196354565636746]]","[[898285500.0, 898261300.0]]",44.16
16,"[[0.10548941424683642, 0.11940579140536527, 0.15773562421827902, 0.2784197625851371, 0.22013130411241721, 0.15116997284092765, 0.19491967485390446, 0.3887691585282257, 0.1281826123933943, 0.2018853725413933, 0.037138376700782266, 0.3916703899088454]]","[[558518800.0, 558453800.0]]",45.3
16,"[[0.10632432636617627, 0.24743639817328889, 0.29647560178056526, 0.17227609730362342, 0.2906784690427053, 0.122012509719488, 0.16861966402507517, 0.31673458909356694, 0.16979388694441377, 0.1801467355129381, 0.36245720705111734, 0.15022523905530483]]","[[272311300.0, 272311200.0]]",48.99
16,"[[0.18840510963068188, 0.03121753793181556, 0.20963813064317494, 0.14132760357409824, 0.16000285564038932, 0.23050018500111175, 0.3024551900503005, 0.16644808595300764, 0.40006299780995036, 0.3044917975358899, 0.18034972131370586, 0.030338118604440273]]","[[578223000.0, 578217700.0]]",61.34
16,"[[0.0999334960274708, 0.16219599615814648, 0.2399082591266527, 0.14322452483342182, 0.1774215393574179, 0.09873568399786777, 0.3260396341462335, 0.25839752840050206, 0.2437480210030727, 0.2222633261258778, 0.232860962215877, 0.272467446505819]]","[[912089800.0, 911904900.0]]",45.78
