CPUs,Input Parameters,Output,Simulation Time
8,"[[0.15909182816914821, 0.3026773217852853, 0.20750569719173173, 0.21550101085484225, 0.07629685585307548, 0.08606988324926418, 0.18076288564515014, 0.3601164227650595, 0.2687552587187222, 0.17913772823171673, 0.14445571548756497, 0.12183596574933252]]","[[64171120.0, 64171120.0]]",4.22
8,"[[0.2837500324773362, 0.16981240752456556, 0.1377996047724383, 0.04735049157220303, 0.21451999486962342, 0.21309060894710338, 0.33653127803153754, 0.1664820537977577, 0.13215409089444485, 0.2351743683466368, 0.21464454184891749, 0.21338152779896247]]","[[64171120.0, 64171120.0]]",4.37
8,"[[0.10073768488897812, 0.23250081795523375, 0.05991994398732742, 0.19965692149348363, 0.18918056205659894, 0.11437942404261338, 0.1169686345823491, 0.13769132218069827, 0.15231514807109417, 0.20520442922362578, 0.278427083155087, 0.18621927451008866]]","[[64171120.0, 64171120.0]]",5.36
8,"[[0.21019093887654233, 0.09219165085757822, 0.24517079896580596, 0.30933197795453327, 0.3202856360443769, 0.22549776827080364, 0.24537876965196365, 0.2191035314077716, 0.24832035313343995, 0.16132417191957063, 0.19501688677996765, 0.27752521511608347]]","[[64171120.0, 64171120.0]]",5.02
8,"[[0.1754917706323857, 0.19233649624874835, 0.26941815680107384, 0.22610965034141603, 0.12127407937563832, 0.18337113770854113, 0.28608262665573414, 0.19329169092460952, 0.023463348424566932, 0.3144107256906359, 0.243939515640164, 0]]","[[64171120.0, 64171120.0]]",4.62
8,"[[0.3441939306530498, 0.262158270192086, 0.18911046268559145, 0.1345092674208907, 0.24345706768098488, 0.3068001629363269, 0.1602349227777663, 0.280035620544518, 0.3737545600224349, 0.11527209284654032, 0.09836420808665909, 0.2468885708018925]]","[[64171120.0, 64171120.0]]",4.34
8,"[[0.11996309411914377, 0.2705802837752619, 0.3057343420075592, 0.08637009690768435, 0.38826710341120296, 0.18765453581272826, 0.19906217336635457, 0.3142131782107765, 0.2733190166921441, 0.3554704297511989, 0.1613102360531276, 0.19124330772610418]]","[[64171120.0, 64171120.0]]",8.92
8,"[[0.2388963479485367, 0.1865862788815817, 0.1667525931749672, 0.204656241412198, 0.17513666157288613, 0.3319172128486802, 0.3138118386861958, 0.1490012687359978, 0.12749922717594975, 0.13096892611870758, 0.29168203833995626, 0.26644265121613037]]","[[64171120.0, 64171110.0]]",5.7
8,"[[0.17289146490429416, 0.07533255214117654, 0.12813562471733397, 0.26736029849717025, 0.23101818697988097, 0.13979831422145778, 0.20614840786714908, 0.23624614331175472, 0.2158740537985941, 0.21408303384265248, 0.12879279366997723, 0.1023797423271618]]","[[64171120.0, 64171120.0]]",4.27
8,"[[0.2637043163927284, 0.2390293769799641, 0.21314790956131005, 0.16878609867532213, 0.14148141518616952, 0.24837065594277544, 0.0919343111043175, 0.011062547191908051, 0.18387648329750897, 0.17095803911864468, 0.2003141148081342, 0.22827392438701874]]","[[64171120.0, 64171120.0]]",4.34
8,"[[0.0625766034885023, 0.147926748929761, 0.23690000798250602, 0.11197510903547508, 0.282574095370697, 0.05957275323774838, 0.2583982242376138, 0.17551878625776837, 0.10808581293037742, 0.18909397471135647, 0.25759088923083323, 0.1721438781943721]]","[[64171120.0, 64171120.0]]",4.34
8,"[[0.22345166425303556, 0.43183891130453456, 0.08031084791887994, 0.2428499065517441, 0.1539757613826991, 0.2080734836302279, 0.1675675596279584, 0.26979697204161823, 0.29162260151819136, 0.2463480798426764, 0.18382208096047103, 0.2984680922458034]]","[[64171120.0, 64171120.0]]",4.96
8,"[[0.18762969223302048, 0.2247879705991459, 0.1817966907671851, 0.4212694757968535, 0.2005963622736939, 0.14733746865616298, 0.142886992516233, 0.11003054986388146, 0.16986423026515576, 0.10003950966710519, 0.22903584070450933, 0.13406486744190016]]","[[64171120.0, 64171120.0]]",4.88
8,"[[0.30331732242507725, 0.11109325299920371, 0.2774961678386113, 0.18315533118883007, 0.10512696838964537, 0.2566334224411097, 0.2368855981757944, 0.21241056610881784, 0.2308165572749127, 0.27360623255505107, 0.0670621646393822, 0.20911563467605013]]","[[64171120.0, 64171120.0]]",4.41
8,"[[0.14659881556870497, 0.20859030664252307, 0.2461147307394478, 0.24977710166214911, 0.23546431247503635, 0.22106838698657277, 0.2931736789740306, 0.09656923496445427, 0.24086220003634648, 0.28526100907767404, 0.16367616243465627, 0.14467169518773731]]","[[64171120.0, 64171120.0]]",6.52
8,"[[0.23218645796469145, 0.1363103955487343, 0.04806649485204392, 0.1220392649288833, 0.13213805807605444, 0.0979766211732777, 0.19040111246958205, 0.24486379403780495, 0.15930655458896742, 0.09068508860029106, 0.3877814395925242, 0.20432952895189385]]","[[64171120.0, 64171120.0]]",4.44
8,"[[0.15199644424346945, 0.16638764039034656, 0.199080981152045, 0.17725076917516824, 0.3410441395409963, 0.2746802702834619, 0.09719472252165351, 0.1683449827217625, 0.33290203861845635, 0.24551315045577107, 0.13250434734766642, 0.16388240235282542]]","[[64171120.0, 64171120.0]]",4.58
8,"[[0.2724962304497186, 0.30994116129143345, 0.2535962300199609, 0.34620445636436414, 0.18377779644423223, 0.16151564701433585, 0.2082531603560738, 0.34403697766820623, 0.06442441909567401, 0.19915939429169166, 0.22287944107153124, 0.30907331690447915]]","[[64171120.0, 64171120.0]]",4.73
8,"[[0.0843297510425082, 0.09985113632291619, 0.40408585296627497, 0.211335847591827, 0.2089409269945291, 0.2960940808060556, 0.17025028664411496, 0.21695194636590412, 0.1993067310851686, 0.16511535225931073, 0.2812040463914264, 0.09184338177035883]]","[[64171120.0, 64171120.0]]",4.72
